t,outcome,"Static(0.5)_belief","Static(0.5)_brier","Static(0.5)_log","Bayes(1,1)_belief","Bayes(1,1)_brier","Bayes(1,1)_log","MLE_belief","MLE_brier","MLE_log"
76,0,0.5,0.75,-0.693147,0.525641,0.723702,-0.745791,0.526316,0.722992,-0.747214
77,0,0.5,0.75,-0.693147,0.518987,0.730652,-0.731862,0.519481,0.73014,-0.732888
78,0,0.5,0.75,-0.693147,0.5125,0.737344,-0.718465,0.512821,0.737015,-0.719123
79,0,0.5,0.75,-0.693147,0.506173,0.743789,-0.70557,0.506329,0.743631,-0.705886
80,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
81,1,0.5,0.75,-0.693147,0.493976,0.74394,-0.705269,0.493827,0.743789,-0.70557
82,1,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
83,1,0.5,0.75,-0.693147,0.505882,0.755848,-0.681451,0.506024,0.755988,-0.681171
84,0,0.5,0.75,-0.693147,0.511628,0.738237,-0.716678,0.511905,0.737954,-0.717245
85,0,0.5,0.75,-0.693147,0.505747,0.74422,-0.704708,0.505882,0.744083,-0.704982
86,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
87,1,0.5,0.75,-0.693147,0.494382,0.74435,-0.704447,0.494253,0.74422,-0.704708
88,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
89,1,0.5,0.75,-0.693147,0.494505,0.744475,-0.704197,0.494382,0.74435,-0.704447
90,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
91,0,0.5,0.75,-0.693147,0.494624,0.755347,-0.682452,0.494505,0.755464,-0.682218
92,0,0.5,0.75,-0.693147,0.489362,0.760525,-0.672094,0.48913,0.760751,-0.671641
93,1,0.5,0.75,-0.693147,0.484211,0.733961,-0.725235,0.483871,0.733611,-0.725937
94,1,0.5,0.75,-0.693147,0.489583,0.739475,-0.714201,0.489362,0.739249,-0.714653
95,1,0.5,0.75,-0.693147,0.494845,0.744819,-0.70351,0.494737,0.744709,-0.703729
96,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
97,1,0.5,0.75,-0.693147,0.494949,0.744924,-0.7033,0.494845,0.744819,-0.70351
98,1,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
99,1,0.5,0.75,-0.693147,0.50495,0.754926,-0.683295,0.505051,0.755025,-0.683097
100,0,0.5,0.75,-0.693147,0.509804,0.7401,-0.71295,0.51,0.7399,-0.71335
